#{"t_start": 1772039149.9034462, "env_id": "None"}
r,l,t
130.212339,2000,1221.895579
148.524164,2000,1226.193193
151.692715,2000,1229.731535
151.373222,2000,1232.802043
122.03132,2000,1235.76709
145.557984,2000,1238.693604
137.878312,2000,1241.706616
147.265157,2000,1244.892173
156.830252,2000,1247.868876
114.141489,2000,1250.748088
141.341958,2000,1253.811423
130.233581,2000,1258.295824
132.300817,2000,1262.137423
137.5043,2000,1266.974542
138.009713,2000,1271.677727
147.483568,2000,1275.69673
151.101772,2000,1279.234862
135.348274,2000,1283.119876
141.106557,2000,1287.228433
126.314259,2000,1292.150862
123.151619,2000,1295.903931
121.541206,2000,1298.841841
128.636102,2000,1301.808425
122.347731,2000,1304.855151
116.446281,2000,1307.845993
132.133794,2000,1310.826536
139.176611,2000,1314.028583
143.410585,2000,1318.716109
136.121716,2000,1323.483298
135.740623,2000,1328.230158
154.199313,2000,1332.964757
153.505602,2000,1336.523453
138.680167,2000,1341.035201
143.088796,2000,1344.755153
145.101874,2000,1347.087672
151.820879,2000,1350.080093
137.42506,2000,1353.298579
129.813557,2000,1357.263072
151.83428,2000,1361.281651
130.260424,2000,1364.608418
147.626067,2000,1367.694303
129.845173,2000,1370.552664
140.777778,2000,1373.73516
140.307689,2000,1378.320829
140.995124,2000,1383.088183
145.608104,2000,1388.152775
153.33759,2000,1393.166717
98.844001,2000,1396.848904
144.687117,2000,1400.114719
156.681924,2000,1403.089258
157.855444,2000,1406.105986
134.963203,2000,1409.084594
139.388973,2000,1412.021873
133.158253,2000,1415.640025
140.875327,2000,1418.618771
123.570815,2000,1421.50277
132.770782,2000,1425.488972
122.699477,2000,1429.12803
140.401733,2000,1431.975197
151.079352,2000,1435.582942
119.640938,2000,1440.386979
145.628751,2000,1445.265393
131.415092,2000,1450.028473
124.658565,2000,1454.656234
134.161705,2000,1457.653474
153.321258,2000,1461.758702
116.941099,2000,1466.134966
129.673036,2000,1470.943885
155.711723,2000,1475.921381
133.132048,2000,1481.297725
144.301368,2000,1489.069005
137.704202,2000,1497.139202
146.500002,2000,1505.513164
149.276496,2000,1510.24479
157.092698,2000,1515.010198
160.811302,2000,1519.110071
138.880409,2000,1521.443211
133.165983,2000,1524.479316
143.600136,2000,1527.450665
155.964726,2000,1530.379095
132.151467,2000,1533.433026
133.77031,2000,1536.477161
133.258429,2000,1539.421839
138.878179,2000,1542.442079
125.998437,2000,1545.485742
139.790846,2000,1548.453567
145.529279,2000,1551.737684
145.514533,2000,1556.027543
143.621077,2000,1561.320035
154.660056,2000,1566.83821
144.865022,2000,1571.521961
136.968085,2000,1575.850494
146.430019,2000,1578.796465
137.362711,2000,1581.852919
128.351987,2000,1584.901757
139.879479,2000,1587.895393
156.908428,2000,1590.896418
136.135999,2000,1593.873457
144.042557,2000,1596.183144
137.493557,2000,1599.205817
111.110674,2000,1602.233022
133.100983,2000,1605.22147
130.333104,2000,1608.48921
135.137964,2000,1612.612702
141.761786,2000,1618.910429
131.198999,2000,1624.187899
154.295451,2000,1629.529038
166.048252,2000,1635.023687
134.510424,2000,1638.388024
137.251208,2000,1641.311431
141.606452,2000,1644.447743
145.180285,2000,1647.745054
130.909289,2000,1652.593945
129.545646,2000,1655.534065
132.722814,2000,1658.584074
137.022489,2000,1661.55639
134.228748,2000,1664.55183
131.906253,2000,1667.597083
155.212533,2000,1670.588179
141.47871,2000,1673.652598
125.961557,2000,1678.205197
117.007914,2000,1683.831032
145.00619,2000,1688.970801
145.816032,2000,1693.936957
123.151206,2000,1698.388329
133.861996,2000,1701.808659
135.764668,2000,1704.680526
136.279522,2000,1707.586455
148.497189,2000,1710.50491
132.97377,2000,1713.504042
124.18367,2000,1716.545217
135.085201,2000,1720.618144
143.026321,2000,1723.870625
132.001975,2000,1727.178095
153.093518,2000,1730.082769
123.083695,2000,1733.21129
126.275938,2000,1737.399922
141.560596,2000,1742.225276
133.81279,2000,1746.915628
156.555851,2000,1752.8082
147.398476,2000,1755.9591
122.169301,2000,1758.920678
123.243185,2000,1762.428619
135.10272,2000,1767.223703
139.715604,2000,1770.667698
139.783129,2000,1773.915763
153.356508,2000,1776.803959
140.959802,2000,1780.071817
134.194659,2000,1783.112663
146.141813,2000,1785.97438
134.012297,2000,1789.156267
131.87669,2000,1792.335906
131.383782,2000,1796.103678
141.373962,2000,1800.982778
123.756548,2000,1805.84504
150.617947,2000,1810.617254
142.004749,2000,1815.356673
125.714981,2000,1818.91959
124.941258,2000,1821.981019
145.32176,2000,1824.864619
151.084568,2000,1827.875016
165.638877,2000,1831.637144
146.830157,2000,1834.449924
136.52451,2000,1837.682003
147.198654,2000,1840.714018
127.359861,2000,1843.713982
150.806246,2000,1846.710884
122.005966,2000,1849.657444
126.856322,2000,1852.79173
115.109851,2000,1856.762953
108.913769,2000,1861.624824
135.469995,2000,1866.574986
119.656323,2000,1871.278125
108.678005,2000,1875.336965
152.663172,2000,1878.423616
135.630307,2000,1881.853577
157.388478,2000,1885.422547
124.977401,2000,1888.59324
129.224755,2000,1891.567721
132.772183,2000,1894.656677
159.031548,2000,1898.341043
145.598119,2000,1901.756448
125.240076,2000,1904.649151
127.590492,2000,1906.977789
131.044456,2000,1909.896055
148.549601,2000,1912.942734
142.33238,2000,1917.084712
132.432667,2000,1921.795786
113.505291,2000,1926.611319
140.053709,2000,1931.424609
140.300094,2000,1935.644733
135.270921,2000,1938.959642
144.067515,2000,1942.890973
