case,n_agents,n_additional_agents,baseline_min_sep_nmi,baseline_min_sep_nmi_std,rl_min_sep_nmi,rl_min_sep_nmi_std,baseline_risk_exposure,baseline_risk_exposure_std,rl_risk_exposure,rl_risk_exposure_std,baseline_dist_m,baseline_dist_m_std,rl_dist_m,rl_dist_m_std,baseline_time_s,baseline_time_s_std,rl_time_s,rl_time_s_std,baseline_collision_rate,rl_collision_rate,baseline_success_rate,rl_success_rate,n_episodes_baseline,n_episodes_rl
12,4,3,0.24140886775926115,0.008899434856390925,0.10178367804330517,0.03945426758090417,1.5071035475579984,0.8535282893622022,262.9587337832785,7.247331464429579,3795.39,9.60733621202604,3809.15,29.37097275209008,632.565,1.6012227020043595,380.915,2.9370972752090463,0.0,0.0,1.0,1.0,100,100
13,4,3,0.282568284925057,0.0041724031785456955,0.048872543486025745,0.013633461406621817,1.6820405409980754,0.8450767481712101,307.2499293783187,10.468885793025224,5100.0,3.1399561259441617e-12,3740.5,101.08627178521509,850.0,0.0,374.05,10.108627178521495,0.0,0.04,0.0,0.96,100,100
14,4,3,0.5155206891891012,0.0041421357017136584,0.02445614608034382,0.009690869129662421,0.2292261434250176,0.117726693643576,249.15973046615923,27.385168917143073,3577.47,4.056308218520679,3636.05,243.24541271744644,596.245,0.6760513697534046,363.605,24.324541271744632,0.0,0.39,1.0,0.61,100,100
15,4,3,0.5154462634414447,0.003665005474253352,0.02194005511766312,0.009084021775550228,0.5548196710633805,0.20366931771235938,258.92284879599157,10.005720510884762,3572.64,4.248636144801071,3830.4500000000007,139.67331111699178,595.44,0.7081060241334918,383.045,13.967331111699128,0.0,0.53,1.0,0.47,100,100
16,4,3,0.1885366424495625,0.008828910148071292,0.1522586494769178,0.01851887914424784,0.5011489101138872,0.41024652964729713,259.6998831741261,4.788505421795548,4954.68,63.99619306859337,3848.25,67.22258744370292,825.78,10.666032178098959,384.825,6.722258744370275,0.0,0.0,0.99,1.0,100,100
17,4,3,0.5682751380476772,0.0035024674129705657,0.04347985186615661,0.034829732741434145,0.5197179408557473,0.22574547622075058,262.2474763753534,8.569397492996425,3518.76,2.9132924204880117,3791.95,117.35058197942213,586.46,0.4855487367479971,379.195,11.73505819794222,0.0,0.51,1.0,0.49,100,100
18,4,3,0.41466305264894304,0.0053142419383436215,0.08054952839714502,0.027390545542860495,0.18697615608354656,0.10359711260331136,265.5929298856308,7.134309881644722,3699.48,5.9040817929787535,3844.95,34.84087202749607,616.58,0.984013632163106,384.495,3.484087202749615,0.0,0.01,1.0,0.99,100,100
19,4,3,0.4031144986575249,0.006091132623094803,0.0347132240073764,0.019397387314797163,0.2925347455614337,0.10878408564244996,270.5479544867075,25.251653765009593,3700.32,6.256923438007459,3703.5,233.1075747678342,616.72,1.0428205730012943,370.35,23.31075747678342,0.0,0.29,1.0,0.71,100,100
20,4,3,0.5014294874327216,0.004114157795359812,0.06182420863359773,0.016538446345980194,0.6968116228371997,0.23665296072913325,254.55707467192013,6.703752575290062,3570.03,4.078658424709652,3859.75,85.08277312610483,595.005,0.6797764041182657,385.975,8.508277312610517,0.0,0.0,1.0,1.0,100,100
21,4,3,0.49810215546293,0.0039350337100927425,0.02118791455857273,0.006934234297052552,0.2354759027768062,0.11382190000501946,256.1607585393356,26.653154167738453,3579.6,4.898979485566049,3599.7,259.8385473848536,596.6,0.816496580927726,359.97,25.98385473848534,0.0,0.47,1.0,0.53,100,100
